date,USD,EUR,KZT,UAH,BYR
2013-5,,,,,
2013-6,,,,,
2013-7,,,,,
2013-8,,,,,
2013-9,,,,,
2013-10,32.4839,43.8143,0.21120899999999998,3.9658,0.0035677
2013-11,32.0758,43.9406,0.208014,3.9176499999999996,0.0034657800000000003
2013-12,33.1916,45.187,0.215663,4.0443,0.0035499000000000004
2014-1,,,,,
2014-2,,,,,
2014-3,,,,,
2014-4,,,,,
2014-5,,,,,
2014-6,,,,,
2014-7,,,,,
2014-8,,,,,
2014-9,,,,,
2014-10,39.3836,49.9817,0.21647099999999997,3.0412,0.0037119300000000004
2014-11,41.9627,52.7219,0.232011,3.2272799999999995,0.00391078
2014-12,49.322,61.4108,0.272542,3.2831,0.00453327
2015-1,,,,,
2015-2,,,,,
2015-3,,,,,
2015-4,,,,,
2015-5,,,,,
2015-6,,,,,
2015-7,,,,,
2015-8,,,,,
2015-9,,,,,
2015-10,65.7364,73.776,0.242588,3.08549,0.00371917
2015-11,64.3742,70.7537,0.229859,2.7928100000000002,0.0036901200000000003
2015-12,66.737,70.6478,0.216996,2.80998,0.0036957
2016-1,,,,,
2016-2,,,,,
2016-3,,,,,
2016-4,,,,,
2016-5,,,,,
2016-6,,,,,
2016-7,,,,,
2016-8,,,,,
2016-9,,,,,
2016-10,63.396,70.9338,0.188946,2.44348,
2016-11,63.2174,69.2863,0.188664,2.47911,
2016-12,65.2382,69.3417,0.19091999999999998,2.54837,
2017-1,,,,,
2017-2,,,,,
2017-3,,,,,
2017-4,,,,,
2017-5,,,,,
2017-6,,,,,
2017-7,,,,,
2017-8,,,,,
2017-9,,,,,
2017-10,58.0169,68.4483,0.170075,2.1815,
2017-11,58.1179,67.6434,0.17363900000000002,2.16373,
2017-12,58.5814,69.5185,0.176847,2.1565000000000003,
2018-1,,,,,
2018-2,,,,,
2018-3,,,,,
2018-4,,,,,
2018-5,,,,,
2018-6,,,,,
2018-7,,,,,
2018-8,,,,,
2018-9,,,,,
2018-10,65.5906,76.2294,0.180626,2.32056,
2018-11,65.5962,74.4189,0.17775300000000002,2.3348,
2018-12,66.5335,75.7484,0.178169,2.35508,
2019-1,,,,,
2019-2,,,,,
2019-3,,,,,
2019-4,,,,,
2019-5,,,,,
2019-6,,,,,
2019-7,,,,,
2019-8,,,,,
2019-9,,,,,
2019-10,64.6407,70.7169,0.166503,2.67497,
2019-11,63.7748,71.1918,0.164083,2.56843,
2019-12,64.0817,70.5475,0.165875,2.67341,
2020-1,,,,,
2020-2,,,,,
2020-3,,,,,
2020-4,,,,,
2020-5,,,,,
2020-6,,,,,
2020-7,,,,,
2020-8,,,,,
2020-9,,,,,
2020-10,78.7847,92.4302,0.18199500000000002,2.78337,
2020-11,79.3323,92.6284,0.183154,2.78971,
2020-12,76.1999,91.2037,0.179066,2.67321,
2021-1,,,,,
2021-2,,,,,
2021-3,,,,,
2021-4,,,,,
2021-5,,,,,
2021-6,,,,,
2021-7,,,,,
2021-8,,,,,
2021-9,,,,,
2021-10,72.6642,84.305,0.170653,2.7288699999999997,
2021-11,70.52,82.2898,0.16494,2.68152,
2021-12,74.8926,84.8234,0.170443,2.74319,
2022-1,,,,,
2022-2,,,,,
2022-3,,,,,
2022-4,,,,,
2022-5,,,,,
2022-6,,,,,
2022-7,,,,,
